ingredient_id,alias_id,relationship
ingredient_0204,alias_0481,HAS_ALIAS
ingredient_0204,alias_0482,HAS_ALIAS
ingredient_0204,alias_0483,HAS_ALIAS
ingredient_0204,alias_0484,HAS_ALIAS
ingredient_0204,alias_0485,HAS_ALIAS
ingredient_0204,alias_0486,HAS_ALIAS
ingredient_0204,alias_0450,HAS_ALIAS
ingredient_0204,alias_0451,HAS_ALIAS
ingredient_0204,alias_0487,HAS_ALIAS
ingredient_0204,alias_0488,HAS_ALIAS
ingredient_0204,alias_0489,HAS_ALIAS
ingredient_0204,alias_0490,HAS_ALIAS
ingredient_0204,alias_0491,HAS_ALIAS
ingredient_0204,alias_0492,HAS_ALIAS
ingredient_0204,alias_0493,HAS_ALIAS
ingredient_0204,alias_0494,HAS_ALIAS
ingredient_0204,alias_0495,HAS_ALIAS
ingredient_0204,alias_0496,HAS_ALIAS
ingredient_0204,alias_0497,HAS_ALIAS
ingredient_0204,alias_0498,HAS_ALIAS
ingredient_0204,alias_0499,HAS_ALIAS
ingredient_0205,alias_0212,HAS_ALIAS
ingredient_0205,alias_0213,HAS_ALIAS
ingredient_0205,alias_0500,HAS_ALIAS
ingredient_0205,alias_0214,HAS_ALIAS
ingredient_0205,alias_0215,HAS_ALIAS
ingredient_0205,alias_0501,HAS_ALIAS
ingredient_0205,alias_0216,HAS_ALIAS
ingredient_0205,alias_0502,HAS_ALIAS
ingredient_0205,alias_0217,HAS_ALIAS
ingredient_0205,alias_0218,HAS_ALIAS
ingredient_0205,alias_0219,HAS_ALIAS
ingredient_0205,alias_0503,HAS_ALIAS
ingredient_0205,alias_0504,HAS_ALIAS
ingredient_0205,alias_0220,HAS_ALIAS
ingredient_0205,alias_0222,HAS_ALIAS
ingredient_0205,alias_0223,HAS_ALIAS
ingredient_0205,alias_0224,HAS_ALIAS
ingredient_0206,alias_0505,HAS_ALIAS
ingredient_0206,alias_0506,HAS_ALIAS
ingredient_0206,alias_0507,HAS_ALIAS
ingredient_0206,alias_0508,HAS_ALIAS
ingredient_0206,alias_0509,HAS_ALIAS
ingredient_0206,alias_0510,HAS_ALIAS
ingredient_0207,alias_0511,HAS_ALIAS
ingredient_0208,alias_0512,HAS_ALIAS
ingredient_0209,alias_0513,HAS_ALIAS
ingredient_0210,alias_0514,HAS_ALIAS
ingredient_0211,alias_0515,HAS_ALIAS
ingredient_0212,alias_0516,HAS_ALIAS
