RCP_SNO,CKG_NM,CRAWL_COMMENT_CNT,CRAWL_COOK_REVIEW_CNT
7019121,바나나우유,0.0,
7019123,고추장 토마토파스타,0.0,
7019125,연근조림,0.0,
7019126,참치 야채전,0.0,
7019128,북어국,0.0,
7019130,제육볶음,0.0,1.0
7019131,단호박빵,0.0,
7019143,된장술밥,0.0,
7019146,오징어 무국,0.0,1.0
7019147,닭고기 카레덮밥,0.0,
7019152,달고나 라떼,0.0,
7019153,소고기 산적,0.0,
7019163,애호박 밥새우전,0.0,
7019165,팽이 달걀덮밥,0.0,11.0
7019169,로메인시저샐러드,0.0,
7019178,명란 오이두부비빔밥,0.0,
7019179,열무얼갈이김치,0.0,
7019189,동태전,1.0,
7019190,순두부찌개,0.0,1.0
7019193,김치 닭볶음탕,,
7019196,일식 간고등어조림,2.0,
7019199,에그포테이토샐러드,0.0,
7019200,족발,0.0,
7019203,버터쿠키,2.0,2.0
7019205,무장아찌,0.0,
7019207,루러우판,0.0,
7019209,띠과치우,0.0,
7019210,순두부전골,0.0,
7019212,마파두부,0.0,
7019213,홍진미채무침,0.0,1.0
7019214,과일샐러드,0.0,
7019215,머랭쿠키,2.0,2.0
7019217,강된장,0.0,
7019223,빈츠 스모어,0.0,
7019227,식혜,0.0,
7019235,두부김밥,0.0,
7019244,아욱된장국,0.0,1.0
7019253,배추 감자국,,
7019254,팽이버섯 배추말이,0.0,
7019266,콩나물 미더덕찜,0.0,
7019268,삼색김밥,0.0,
7019279,간장두부조림,0.0,1.0
7019281,돼지고기 미트볼,0.0,
7019284,간장 돼지갈비찜,0.0,1.0
7019288,팥칼국수,0.0,
7019292,모닝빵 샌드위치,0.0,
7019296,소고기탕국,0.0,
7019302,갓김치 고등어조림,0.0,
7019303,두부 참치조림,0.0,5.0
7019306,데리야끼 삼치구이,0.0,2.0
7019308,청경채 베이컨볶음,0.0,
7019315,우삼겹덮밥,0.0,
7019319,참치 미역 오트밀죽,0.0,
7019325,베이컨 감자샐러드,0.0,
7019326,양배추 어묵볶음,0.0,2.0
7019335,고등어구이,0.0,2.0
7019341,통닭구이,0.0,
7019351,토마토주스라면,13.0,1.0
7019353,사태찜,0.0,
7019355,동죽조개탕,,
7019357,전복장조림,0.0,
7019359,대패삼겹 제육볶음,0.0,1.0
7019362,참돔조림,0.0,1.0
7019364,떡 만두국,0.0,
7019368,브라우니 쿠키,0.0,
7019369,버터 간장계란밥,0.0,
7019371,버섯 크림리조또,0.0,
7019376,대패삼겹라면,0.0,
7019381,수제 초콜릿,0.0,
7019387,두부 치즈그라탕,0.0,
7019389,통삼겹 묵은지김치찜,0.0,
7019396,두부 동그랑땡,0.0,
7019402,고기만두,0.0,
7019405,어묵김치찌개,0.0,
7019406,고구마 야채튀김,0.0,
7019408,콩나물 굴국,0.0,
7019409,짜장 떡볶이,0.0,
7019412,브로콜리 두부무침,0.0,1.0
7019414,멸치 마늘볶음,0.0,2.0
7019418,손만두,0.0,
7019422,물미역 초무침,0.0,4.0
7019424,감자 스프,0.0,
7019430,표고버섯 조청조림,0.0,
7019433,뚝배기 불고기,0.0,
7019434,표고버섯전,0.0,
7019437,곤드레밥,0.0,
7019442,동그랑땡 두부전골,0.0,
7019443,양미리조림,0.0,
7019445,숭늉,1.0,
7019455,팽이버섯튀김,0.0,
7019457,늙은호박 갈치조림,0.0,
7019461,설렁탕,0.0,2.0
7019465,양배추롤 화이트스튜,0.0,
7019467,닭다리살 지코바 양념치킨,0.0,
7019468,플레인 스콘,0.0,
7019470,피망 츠쿠네,0.0,
7019474,육포볶음,0.0,
7019483,두부샐러드,0.0,
7019484,당근 프라이,0.0,
7019485,견과류 멸치볶음,0.0,
